alpha,beta,gamma,tau,scf_cc,scf_bc,scf_bs,scf_cs
13,0.2,20,0.6,4.061079398,1.16414887,7.43244219,10.38691329
13,0.5,20,0.4,1.383127694,1.529226902,9.662250672,10.44417359
22,0.2,20,0.6,3.943207463,1.096752688,7.604182388,10.63152104
31,0.2,20,0.6,3.944274466,1.095370819,7.606712798,10.63926809
4,0.6,20,1,5.91184199,2.102159404,4.963678281,10.72329248
40,0.7,20,0.4,0.961678432,1.268580253,10.06976607,10.73167035
22,0.5,20,0.4,1.1641841,1.425150276,9.956969911,10.83044306
31,0.5,20,0.4,1.162719437,1.424714143,9.966781824,10.84156105
40,0.5,20,0.4,1.16107274,1.424484282,9.967620826,10.84311033
4,0.7,20,1,5.726861533,2.277379988,5.310055704,10.95499893
4,0.3,32,0.6,4.082448531,2.80827413,8.111841053,10.96361914
22,0.2,32,0.4,2.429809566,3.089629437,11.12941175,10.98762735
4,0.2,32,0.6,4.350435378,2.689923804,7.978892031,10.99412295
40,0.2,32,0.4,2.418133768,3.086937305,11.14899484,11.01011825
4,0.5,20,1,5.84350034,1.887214783,5.046797532,11.4281655
4,0.2,20,1,6.145493235,0.709045524,4.358630166,11.44805469
4,0.5,32,0.8,6.270362569,2.582959875,6.50427599,11.53254724
4,0.4,20,1,5.696938234,1.534764296,5.2523174,12.14717076
4,0.3,20,1,5.82674618,1.181774496,5.336817424,12.30737174
13,0.3,32,0.4,2.023379604,2.216343633,11.72384546,12.35543017
13,0.3,20,0.6,3.069572292,1.319345186,9.526966796,13.19070365
4,0.7,32,1,7.072799516,1.539221489,6.272537301,13.24304447
4,0.4,32,0.8,5.845951034,2.367232149,7.626969979,13.35215674
22,0.3,20,0.6,2.854026065,1.229470964,9.793194425,13.59254245
31,0.3,20,0.6,2.853744574,1.22869811,9.801878856,13.60439813
40,0.3,20,0.6,2.852009596,1.228315572,9.802919109,13.60599002
22,0.3,32,0.4,1.404137858,2.019180374,12.98989187,13.8908768
13,0.4,32,0.4,1.912590672,1.433941725,12.84617995,13.91361678
31,0.3,32,0.4,1.386039457,2.014785983,13.00827901,13.91646394
40,0.3,32,0.4,1.384209084,2.013822199,13.01773175,13.92805764
13,0.2,20,0.8,5.28132862,0.142701308,7.152417566,13.93111139
13,0.7,20,0.4,0.782579064,0.669734852,12.76411691,13.93372858
22,0.7,20,0.4,0.803721337,0.586603603,12.78890352,13.96556798
31,0.7,20,0.4,0.809871084,0.563407251,12.79703205,13.97429965
22,0.2,20,0.8,5.11163735,0.056040091,7.339020116,14.27041349
31,0.2,20,0.8,5.1128196,0.054032332,7.340550696,14.28089248
4,0.3,32,0.8,5.387727938,2.053962913,8.387616447,14.71434178
4,0.2,32,0.8,5.952642683,1.903500165,8.053746815,14.7788329
13,0.5,32,0.4,2.014284231,1.080021416,13.87278444,14.90664168
